spike_times,spike_clusters,cluster_group,aligned_spike_times
0,7,good,2936.0818793829767
0,7,good,2936.08580318697
0,7,good,2936.69284065104
0,7,good,2936.741497959656
0,8,good,2936.771730653923
0,7,good,2936.795269143602
0,6,good,2936.9120157391458
0,7,good,2936.923305950958
0,7,good,2936.9488874631834
0,7,good,2936.9771515117377
0,8,good,2937.0088887817105
0,9,good,2937.0127558730924
0,8,good,2937.0184835154323
0,8,good,2937.034523756894
0,9,good,2937.0489346690147
0,7,good,2937.0736679780166
0,6,good,2937.0836666511655
0,6,good,2937.085558285349
0,9,good,2937.102830258844
0,8,good,2937.148210371264
0,9,good,2937.1782124087667
0,9,good,2937.2455106694233
0,8,good,2937.297418087553
0,9,good,2937.3142767357663
0,9,good,2937.3534194151075
0,8,good,2937.3779972462953
0,6,good,2937.378056386334
0,7,good,2937.4097597727246
0,7,good,2937.411485137109
0,7,good,2937.4385760315913
0,9,good,2937.4736222292618
0,8,good,2937.4779869109775
0,9,good,2937.481521447495
0,6,good,2937.521172927887
0,7,good,2937.5225558367033
0,6,good,2937.5666704045047
0,7,good,2937.576967449348
0,9,good,2937.655437548079
0,6,good,2937.684028617993
0,6,good,2937.7377457735242
0,7,good,2937.7959237455466
0,9,good,2937.8098676443533
0,6,good,2937.844622147192
0,9,good,2937.845302443122
0,9,good,2937.8511384913386
0,7,good,2937.8630781174897
0,6,good,2937.877678215516
0,7,good,2937.8934512159203
0,7,good,2937.9357270703254
0,8,good,2938.009532384359
0,9,good,2938.027248867748
0,8,good,2938.0483506407686
0,8,good,2938.1141900503776
0,9,good,2938.1882127803765
0,9,good,2938.289240122962
0,8,good,2938.4593974332874
0,8,good,1318.9780248677794
0,6,good,1319.1860018912669
0,9,good,1319.2092314471302
0,9,good,1319.3843230532798
0,8,good,1319.4537350488802
0,7,good,1319.4796663557036
0,6,good,1319.4827528488217
0,9,good,1319.4957942194642
0,6,good,1319.558658747722
0,9,good,1319.5656585089619
0,6,good,1319.5711979310477
0,6,good,1319.6085282965428
0,6,good,1319.6461340667543
0,9,good,1319.6857164998519
0,9,good,1319.7326497452111
0,8,good,1319.782942793651
0,9,good,1319.7938595903124
0,8,good,1319.8340320179484
0,6,good,1319.921273671168
0,9,good,1319.9772697504163
0,8,good,1319.9777698327064
0,8,good,1320.0247015320128
0,8,good,1320.0389402144247
0,8,good,1320.049887913719
0,8,good,1320.0605914013065
0,6,good,1320.083439720024
0,9,good,1320.0982488544205
0,6,good,1320.101967105192
0,9,good,1320.1155122568564
0,9,good,1320.1445335709466
0,6,good,1320.1547683964893
0,6,good,1320.165818899999
0,6,good,1320.166695696063
0,7,good,1320.182614242556
0,9,good,1320.1981928530147
0,6,good,1320.2075406071706
0,6,good,1320.2089070283769
0,6,good,1320.2225785167745
0,6,good,1320.2291445467101
0,6,good,1320.2362090380402
0,8,good,1320.2440118477537
0,7,good,1320.2550536325575
0,6,good,1320.2967639772326
0,7,good,1320.3094573834553
0,6,good,1320.3159706908157
0,7,good,1320.339871203414
0,7,good,1320.3555880203292
0,6,good,1320.4032500948867
0,7,good,1320.4128947688928
0,6,good,1320.449079918261
0,9,good,1320.4788719247151
0,9,good,1320.4904922322357
0,9,good,1320.4937466321999
0,9,good,1320.501525124458
0,6,good,1320.5380436058088
0,8,good,1320.5616674670437
0,9,good,1320.5644738251851
0,8,good,1320.5816213151288
0,7,good,1320.584363130785
0,9,good,1320.6018511172883
0,8,good,1320.6356607844132
0,7,good,1320.6494053442677
0,7,good,1320.6682086093742
0,7,good,1320.6802364228993
0,9,good,1320.7561850111083
0,9,good,1320.8071819838467
0,6,good,1320.8723147342407
0,9,good,1320.9245235886017
0,7,good,1320.9385309624408
0,8,good,1320.9468516602901
0,9,good,1320.9790397767408
0,9,good,1320.9850656312226
0,6,good,1320.9927848268364
0,8,good,1321.01558321919
0,8,good,1321.0318492924066
0,8,good,1321.053623840169
0,8,good,1321.3758085010736
0,6,good,5020.643157206286
0,9,good,5020.842946970883
0,7,good,5021.070999990522
0,9,good,5021.14929148786
0,9,good,5021.203822759569
0,7,good,5021.2506061135155
0,7,good,5021.258009427824
0,6,good,5021.303076987994
0,6,good,5021.335312636847
0,9,good,5021.350582552982
0,8,good,5021.405327163829
0,6,good,5021.432730989903
0,6,good,5021.452187016027
0,8,good,5021.4651684903865
0,6,good,5021.466123281622
0,6,good,5021.500455026736
0,9,good,5021.521994002582
0,8,good,5021.523192636657
0,8,good,5021.533273640794
0,7,good,5021.569619847035
0,9,good,5021.5801342417035
0,9,good,5021.582943944189
0,6,good,5021.609089531514
0,8,good,5021.647415127112
0,7,good,5021.66934763723
0,6,good,5021.689674299271
0,9,good,5021.708421917658
0,7,good,5021.722694670471
0,9,good,5021.8062275735
0,6,good,5021.869699487973
0,8,good,5021.889592204806
0,7,good,5021.92704742796
0,8,good,5021.930384850017
0,8,good,5021.939978090361
0,6,good,5021.952442149797
0,7,good,5021.978970441073
0,6,good,5021.986180865473
0,9,good,5021.987772214837
0,6,good,5022.070454198888
0,9,good,5022.104938935551
0,7,good,5022.122436922642
0,7,good,5022.123090795196
0,7,good,5022.162893865304
0,9,good,5022.168964543751
0,7,good,5022.176142289634
0,9,good,5022.20798769038
0,8,good,5022.2169929604
0,9,good,5022.255936541567
0,9,good,5022.260292784331
0,9,good,5022.2819439803525
0,9,good,5022.311646124217
0,6,good,5022.338427684633
0,7,good,5022.415087672032
0,7,good,5022.52808130252
0,9,good,5022.722927203016
0,6,good,5022.930895431308
0,9,good,3324.9296765944787
0,6,good,3325.0254842203726
0,9,good,3325.0361514529145
0,7,good,3325.1175907786374
0,7,good,3325.254168502067
0,8,good,3325.2762133514757
0,9,good,3325.2903009584115
0,6,good,3325.316796122847
0,9,good,3325.3371830711353
0,7,good,3325.351962212331
0,6,good,3325.35704566641
0,6,good,3325.4139571747146
0,6,good,3325.452261691384
0,6,good,3325.4584207180997
0,7,good,3325.4636002354446
0,9,good,3325.5395814670023
0,9,good,3325.632755380683
0,8,good,3325.6370141289453
0,7,good,3325.6524562761338
0,7,good,3325.6636397330067
0,7,good,3325.666256386912
0,9,good,3325.678173875738
0,8,good,3325.7299984062734
0,6,good,3325.767059778846
0,7,good,3325.779621297012
0,6,good,3325.841024782373
0,8,good,3325.8419610843903
0,9,good,3325.8603109343303
0,8,good,3325.866336000597
0,8,good,3325.870581855054
0,6,good,3325.882814281651
0,6,good,3325.8925000014565
0,7,good,3325.9250265059572
0,8,good,3325.926592908926
0,8,good,3325.982941002655
0,9,good,3326.0183705122795
0,6,good,3326.0201678781477
0,7,good,3326.0652796259205
0,8,good,3326.0930137258224
0,7,good,3326.094135089673
0,6,good,3326.097811584195
0,8,good,3326.1543584880324
0,9,good,3326.1652227830023
0,9,good,3326.223442142589
0,7,good,3326.2283517703618
0,7,good,3326.248662449967
0,7,good,3326.2555015728526
0,9,good,3326.291925696028
0,7,good,3326.314652604992
0,6,good,3326.3261945066442
0,8,good,3326.3613415401137
0,7,good,3326.3950507010313
0,6,good,3326.402052261757
0,8,good,3326.428925245138
0,9,good,3326.470445047193
0,7,good,3326.514031530276
0,8,good,3326.521830583474
0,9,good,3326.528912816255
0,8,good,3326.555156759322
0,7,good,3326.561902568624
0,6,good,3326.7701208514927
0,7,good,3326.8606360822073
0,7,good,6731.783038897255
0,7,good,6731.908256419811
0,9,good,6731.9164080266255
0,9,good,6731.960971079569
0,6,good,6732.043607245557
0,7,good,6732.079815520705
0,7,good,6732.081672013863
0,7,good,6732.12064511657
0,8,good,6732.148340684644
0,9,good,6732.274357765987
0,7,good,6732.319515319239
0,9,good,6732.32470153383
0,6,good,6732.363626370797
0,9,good,6732.363956430851
0,7,good,6732.374434027414
0,6,good,6732.38171242833
0,8,good,6732.383456281349
0,9,good,6732.402487840805
0,8,good,6732.4160372820415
0,6,good,6732.418936857238
0,9,good,6732.50480308694
0,7,good,6732.534271225617
0,6,good,6732.541205733464
0,7,good,6732.544928192068
0,9,good,6732.568751279403
0,8,good,6732.571016835298
0,6,good,6732.575518171315
0,7,good,6732.577156903278
0,8,good,6732.577238291372
0,6,good,6732.5821158347735
0,6,good,6732.609765605232
0,8,good,6732.651949577737
0,8,good,6732.664285135502
0,7,good,6732.6674812983
0,7,good,6732.66968311821
0,6,good,6732.680657870242
0,9,good,6732.682535948048
0,8,good,6732.703353514714
0,9,good,6732.738662271301
0,8,good,6732.826731560567
0,6,good,6732.878541127478
0,7,good,6732.957020859598
0,6,good,6732.97501410957
0,9,good,6732.98078745923
0,8,good,6733.026545153664
0,8,good,6733.059723615616
0,7,good,6733.08296285728
0,9,good,6733.090006134373
0,8,good,6733.094723177952
0,9,good,6733.10292181295
0,6,good,6733.109180089583
0,9,good,6733.181601170053
0,8,good,6733.22334039094
0,9,good,6733.227732747787
0,6,good,6733.3055884133655
0,8,good,6733.348023264135
0,9,good,6733.348483039727
0,7,good,6733.368295396771
0,8,good,6733.440535467293
0,8,good,6733.465667340931
0,6,good,6733.543548676539
0,9,good,6733.716331499664
0,8,good,6733.779631057107
0,8,good,6734.069262180497
0,6,good,629.7744351432326
0,6,good,629.8874397432211
0,6,good,629.935070939503
0,9,good,630.0591759314965
0,6,good,630.0778276406254
0,6,good,630.1461568497489
0,7,good,630.2342011248392
0,7,good,630.2720303412526
0,7,good,630.2975373574789
0,6,good,630.3106047030428
0,8,good,630.310788092086
0,7,good,630.3229554132944
0,9,good,630.3654332294184
0,7,good,630.3727449243129
0,8,good,630.4051733896725
0,8,good,630.4225567898092
0,6,good,630.4307362124151
0,6,good,630.4582230206843
0,9,good,630.4672046370481
0,6,good,630.4722039179534
0,6,good,630.490617864867
0,9,good,630.5192431686266
0,7,good,630.5373239044708
0,7,good,630.5914438609014
0,8,good,630.607534877127
0,6,good,630.6138970579108
0,7,good,630.6674561067023
0,7,good,630.6931736004098
0,6,good,630.7382031835734
0,8,good,630.7517738606795
0,7,good,630.7676930067431
0,9,good,630.7721186018764
0,7,good,630.7982782606982
0,6,good,630.8036119054758
0,6,good,630.804643908367
0,8,good,630.8194062656914
0,8,good,630.8907161470012
0,8,good,630.8954439950758
0,8,good,630.8974434604081
0,9,good,630.9038157847955
0,9,good,630.9336274233259
0,9,good,630.9956063553034
0,8,good,631.0147990876658
0,9,good,631.0288218165399
0,9,good,631.035402312449
0,6,good,631.0485271300046
0,6,good,631.0677789485524
0,8,good,631.0787208999775
0,9,good,631.0889556580894
0,6,good,631.1538439375363
0,6,good,631.1893981768942
0,6,good,631.2106517737152
0,7,good,631.2168359506896
0,9,good,631.2456083543749
0,7,good,631.341141716888
0,9,good,631.3690551335044
0,6,good,631.4058040228904
0,8,good,631.4270276871329
0,6,good,631.4492376141834
0,8,good,631.4771773955305
0,8,good,631.5634025219998
0,7,good,631.586098452405
0,9,good,631.6158718478797
0,7,good,631.6352880024667
0,8,good,631.7402377969071
0,7,good,631.7786241237808
0,6,good,631.8235244643427
0,6,good,632.0827536428435
0,8,good,6315.109811754316
0,7,good,6315.303589896214
0,9,good,6315.460992666462
0,6,good,6315.572207015165
0,8,good,6315.593925117975
0,7,good,6315.632831286197
0,9,good,6315.661972081099
0,9,good,6315.680205168088
0,7,good,6315.683521980177
0,8,good,6315.699218770596
0,6,good,6315.770272648384
0,6,good,6315.8230083753915
0,8,good,6315.8276494458705
0,6,good,6315.835930478671
0,9,good,6315.842453556697
0,9,good,6315.9372719015555
0,7,good,6315.940819379306
0,7,good,6315.948276855538
0,6,good,6315.948519108154
0,6,good,6315.956350538671
0,9,good,6315.981873971931
0,9,good,6315.98580329464
0,6,good,6316.018343727255
0,7,good,6316.019245122938
0,9,good,6316.04079696129
0,6,good,6316.078044388556
0,8,good,6316.092274030964
0,9,good,6316.096498870866
0,8,good,6316.1069347887415
0,9,good,6316.109549162576
0,6,good,6316.1236357813395
0,9,good,6316.125651806829
0,6,good,6316.134049798277
0,8,good,6316.192707225044
0,6,good,6316.198106630834
0,8,good,6316.224212549566
0,9,good,6316.288884636207
0,9,good,6316.319568205001
0,7,good,6316.32098089962
0,7,good,6316.346040567071
0,9,good,6316.360925019262
0,9,good,6316.435687729946
0,6,good,6316.436307764579
0,6,good,6316.4994348454165
0,7,good,6316.514368945386
0,6,good,6316.532307350952
0,9,good,6316.570862351896
0,8,good,6316.576786815296
0,9,good,6316.581857005083
0,9,good,6316.596893918675
0,9,good,6316.614603264724
0,7,good,6316.638580570588
0,8,good,6316.655357082082
0,7,good,6316.687113322377
0,9,good,6316.738992584784
0,8,good,6316.741715917844
0,6,good,6316.765381361225
0,6,good,6316.774175217113
0,8,good,6316.785610078978
0,6,good,6316.848102557477
0,8,good,6317.09675661511
0,9,good,6317.134381748381
0,7,good,6317.165071893008
0,9,good,6317.174542445693
0,8,good,6317.274399809487
0,7,good,6317.367134335421
0,9,good,6317.561357466189
0,9,good,4357.918053718197
0,6,good,4358.159175466445
0,7,good,4358.190073661323
0,7,good,4358.226115553081
0,6,good,4358.2450074682065
0,9,good,4358.251775373966
0,6,good,4358.377387839167
0,6,good,4358.395564187688
0,8,good,4358.397630475103
0,7,good,4358.440989832648
0,7,good,4358.48223923953
0,9,good,4358.554672472366
0,7,good,4358.56426130389
0,9,good,4358.598301938515
0,7,good,4358.607657872083
0,6,good,4358.657195540606
0,8,good,4358.743065837762
0,8,good,4358.748310738523
0,8,good,4358.757545449567
0,9,good,4358.781698295118
0,7,good,4358.7875337025425
0,9,good,4358.828094577351
0,9,good,4358.830597385939
0,9,good,4358.834847116836
0,8,good,4358.883787318097
0,8,good,4358.930076987501
0,9,good,4358.975277653347
0,6,good,4358.983292484702
0,7,good,4358.991257298602
0,9,good,4359.0077537267325
0,9,good,4359.026636551371
0,8,good,4359.0327912233915
0,7,good,4359.0574339969435
0,8,good,4359.106221288605
0,8,good,4359.116602096702
0,9,good,4359.158385202503
0,7,good,4359.186281731036
0,9,good,4359.19112492649
0,6,good,4359.194062968668
0,9,good,4359.231757580589
0,9,good,4359.243357712292
0,7,good,4359.274965829075
0,6,good,4359.320800495821
0,6,good,4359.324606305125
0,6,good,4359.364876537467
0,8,good,4359.424014403841
0,6,good,4359.428358697068
0,6,good,4359.468061517986
0,8,good,4359.486917837595
0,8,good,4359.493763349269
0,9,good,4359.497810156711
0,6,good,4359.522915020284
0,7,good,4359.53232936651
0,9,good,4359.539507999504
0,9,good,4359.54968804223
0,7,good,4359.565363459641
0,7,good,4359.730490370611
0,9,good,4359.751201627694
0,6,good,4359.840588134188
0,8,good,4360.057220308433
0,8,good,4360.160968924912
0,8,good,655.116932143175
0,6,good,655.2993681009284
0,6,good,655.3162947960848
0,8,good,655.4070126136568
0,8,good,655.4544788916471
0,8,good,655.5111469792935
0,6,good,655.6411783910964
0,9,good,655.6973424440076
0,9,good,655.74520826675
0,8,good,655.745930296796
0,6,good,655.7574854779484
0,8,good,655.7860129055996
0,6,good,655.8463103172818
0,7,good,655.8474166770006
0,6,good,655.8575453392544
0,7,good,655.8596039164632
0,8,good,655.8763347239295
0,8,good,655.9077178806544
0,7,good,655.9184613729217
0,7,good,655.9239453155811
0,9,good,655.9644846395366
0,8,good,655.9716401557808
0,7,good,655.9732639871708
