spike_clusters,aligned_spike_times,cluster_group
0,5147.9140068079105,good
0,5147.9787693100225,good
0,5148.508412361167,good
0,5148.543954576142,good
0,5148.627251252551,good
0,5148.650537782169,good
0,5148.756074908775,good
0,5148.820415520893,good
0,5148.841507486534,good
0,5148.860601023664,good
0,5148.947399194663,good
0,5148.976964387104,good
0,5149.020905884585,good
0,5149.05222927488,good
0,5149.060743706211,good
0,5149.076468604526,good
0,5149.107425500161,good
0,5149.128962621801,good
0,5149.145874572892,good
0,5149.156019177013,good
0,5149.158780508412,good
0,5149.161867310679,good
0,5149.230627091321,good
0,5149.279002242383,good
0,5149.306463409127,good
0,5149.324906267317,good
0,5149.348208955977,good
0,5149.358759417108,good
0,5149.380484196691,good
0,5149.401341822277,good
0,5149.4362455516975,good
0,5149.440189639494,good
0,5149.44197488869,good
0,5149.448090413009,good
0,5149.448223190403,good
0,5149.458175843039,good
0,5149.46566254755,good
0,5149.476801177818,good
0,5149.489716881657,good
0,5149.513206478658,good
0,5149.518819279813,good
0,5149.543779479561,good
0,5149.5449797608035,good
0,5149.566728035662,good
0,5149.5718319926955,good
0,5149.573850954837,good
0,5149.601153892885,good
0,5149.626129357395,good
0,5149.647515820603,good
0,5149.651918368488,good
0,5149.659990102286,good
0,5149.785708488147,good
0,5149.7959965085865,good
0,5149.823761624019,good
0,5149.884815937774,good
0,5149.917929391538,good
0,5149.955773246137,good
0,5150.041282318436,good
0,5150.084746961068,good
0,5150.259034681146,good
0,5150.563070940518,good
0,7000.977826444116,good
0,7001.264610884964,good
0,7001.4309330753495,good
0,7001.444200586543,good
0,7001.510358432988,good
0,7001.56329578741,good
0,7001.584700205473,good
0,7001.613061083894,good
0,7001.618230533525,good
0,7001.626050810912,good
0,7001.659649737424,good
0,7001.683095959426,good
0,7001.703056705891,good
0,7001.7299595181,good
0,7001.741264976568,good
0,7001.799215984493,good
0,7001.818098608674,good
0,7001.827306976416,good
0,7001.851230853298,good
0,7001.89364470266,good
0,7001.901784036122,good
0,7001.938073320735,good
0,7001.9673874608025,good
0,7001.97378036261,good
0,7002.007784392829,good
0,7002.032964971843,good
0,7002.0688680889125,good
0,7002.078431203241,good
0,7002.11733991538,good
0,7002.135944888767,good
0,7002.139150823619,good
0,7002.200320344768,good
0,7002.250707515735,good
0,7002.299646109173,good
0,7002.31610715279,good
0,7002.327271594589,good
0,7002.348555817971,good
0,7002.3775084613435,good
0,7002.404952593667,good
0,7002.468791120677,good
0,7002.4737607660145,good
0,7002.473842877387,good
0,7002.486059706892,good
0,7002.502918016607,good
0,7002.532305804407,good
0,7002.543493640015,good
0,7002.562182261478,good
0,7002.562818846317,good
0,7002.647001214523,good
0,7002.664149763432,good
0,7002.667611591943,good
0,7002.6798626067675,good
0,7002.699625693542,good
0,7002.7052135204785,good
0,7002.709025542717,good
0,7002.724412630409,good
0,7002.725007749712,good
0,7002.780507319307,good
0,7002.805276332949,good
0,7002.836586654173,good
0,7002.858060969277,good
0,7002.8689804835,good
0,7002.8848483696875,good
0,7002.909823794245,good
0,7002.948409420715,good
0,7003.105370647659,good
0,7003.2496162284415,good
0,7003.261582431825,good
0,7003.354504188615,good
0,6480.042512867727,good
0,6480.05179450158,good
0,6480.14769091276,good
0,6480.266910036916,good
0,6480.342338378406,good
0,6480.480958876272,good
0,6480.485900327785,good
0,6480.582653430274,good
0,6480.586881434425,good
0,6480.664833995055,good
0,6480.686597530007,good
0,6480.691607152137,good
0,6480.713612438132,good
0,6480.723547320321,good
0,6480.728739249738,good
0,6480.737421323856,good
0,6480.7474995384355,good
0,6480.752643484096,good
0,6480.805053053659,good
0,6480.87288842865,good
0,6480.879652864358,good
0,6480.91315952389,good
0,6480.917832709624,good
0,6480.946637083581,good
0,6480.953525377036,good
0,6480.980304090562,good
0,6480.993460018394,good
0,6481.025268141333,good
0,6481.03388027309,good
0,6481.0549106006165,good
0,6481.068057425037,good
0,6481.069895453465,good
0,6481.133653132221,good
0,6481.149254877968,good
0,6481.157831487809,good
0,6481.160437637853,good
0,6481.164980153248,good
0,6481.16508157057,good
0,6481.213785397608,good
0,6481.224029384092,good
0,6481.227986096755,good
0,6481.238601904695,good
0,6481.239956263861,good
0,6481.295022444378,good
0,6481.326887340148,good
0,6481.327594049022,good
0,6481.333629999367,good
0,6481.3355811389165,good
0,6481.365219832974,good
0,6481.379624147682,good
0,6481.381881999093,good
0,6481.478952039671,good
0,6481.496107203115,good
0,6481.522430273927,good
0,6481.523214901599,good
0,6481.63837278228,good
0,6481.655041090138,good
0,6481.658665124066,good
0,6481.68644716516,good
0,6481.877051004672,good
0,6481.925618581926,good
0,6481.944863718308,good
0,6481.975880039074,good
0,6482.009094513622,good
0,151.3972891694331,good
0,151.47604409590824,good
0,151.5065732739506,good
0,151.51003487158505,good
0,151.52498530683218,good
0,151.52863439255708,good
0,151.6703465216847,good
0,151.67511928821253,good
0,151.72026774385648,good
0,151.8188505584719,good
0,151.8216973748734,good
0,151.86524078262516,good
0,151.87541130788355,good
0,151.93630514537975,good
0,151.93988716171796,good
0,151.96607485140257,good
0,151.96806910501863,good
0,151.96889824932273,good
0,152.01424875403603,good
0,152.02773167258772,good
0,152.07463384712685,good
0,152.10288074198385,good
0,152.11042574620694,good
0,152.13126163030478,good
0,152.16132720954326,good
0,152.1714258901888,good
0,152.1757622695791,good
0,152.26570017200285,good
0,152.31200159853188,good
0,152.33742464346184,good
0,152.39349756772475,good
0,152.3976722222117,good
0,152.42593194476004,good
0,152.42798243351024,good
0,152.45056015801097,good
0,152.4553029992806,good
0,152.46585695615383,good
0,152.51026643539439,good
0,152.54387752377207,good
0,152.624826868646,good
0,152.63006478499761,good
0,152.63199069102944,good
0,152.63463783926935,good
0,152.68065950042765,good
0,152.69859599020506,good
0,152.69970166277562,good
0,152.70469627316027,good
0,152.7060432370135,good
0,152.70663479531325,good
0,152.71088614518442,good
0,152.72902758156403,good
0,152.80279824579216,good
0,152.87025005250945,good
0,153.04500214543168,good
0,153.06237828013832,good
0,153.1514645610414,good
0,153.17945877884222,good
0,153.32618492124962,good
0,466.871091265767,good
0,466.87707055147297,good
0,466.9224398917539,good
0,466.93882998300325,good
0,467.07036924754124,good
0,467.264384520375,good
0,467.2992482705339,good
0,467.3412059600238,good
0,467.39885704218074,good
0,467.42431693687047,good
0,467.45577206672925,good
0,467.4573331690409,good
0,467.5475784663027,good
0,467.56692835269007,good
0,467.58787342534697,good
0,467.61407395437374,good
0,467.6392995962891,good
0,467.65015262073763,good
0,467.6540945756278,good
0,467.6750641279961,good
0,467.6971531274322,good
0,467.70948809956457,good
0,467.7173092610417,good
0,467.72081551884423,good
0,467.7276492414464,good
0,467.75345705344455,good
0,467.7811584173454,good
0,467.808790086984,good
0,467.8110858050215,good
0,467.81754351790886,good
0,467.8196600233836,good
0,467.82097518662505,good
0,467.83740218279837,good
0,467.84466986752216,good
0,467.86900776138685,good
0,467.869285747982,good
0,467.96910534781784,good
0,468.046727046812,good
0,468.0518203515014,good
0,468.18382456112283,good
0,468.2001028643425,good
0,468.21417340723195,good
0,468.2340598849501,good
0,468.2629774895913,good
0,468.28294850447645,good
0,468.30348533591877,good
0,468.32122336720647,good
0,468.4232134261821,good
0,468.4918676384843,good
0,468.4928848836327,good
0,468.51671650916427,good
0,468.5321343893878,good
0,468.56079633220116,good
0,468.5645737986825,good
0,468.73533460245824,good
